nome,sexo,id,origem,idade,salario,credito,tempo,regiao,estadocivil,educacao,nprodutos,pagamento,maxatraso
ADRIANA A.,feminino,q2lg36rcg1beowq6m5wh6jxx64va6d,3390448580,55.0,93179.0,728.5,39,sudeste,casado(a),fundamental,1,cartão de crédito,8
TEREZA N.,feminino,ira1aup5o3cibzht1otkntbh9l7pjl,7705954392,31.0,55073.0,590.8,28,sul,solteiro(a),fundamental,0,cartão de débito,2
DANIEL P.,feminino,dpjhhqds8kve6ipc5cvzg6zeidg1vi,7766144095,31.0,44380.0,618.8,25,nordeste,casado(a),outros,2,cartão de crédito,7
TEREZINHA J.,feminino,ola9x13k99m8d6rjjn92etuxtn9ioa,6649715894,,37722.0,447.2,18,nordeste,viúvo(a),outros,1,boleto,7
CRISTIANE N.,feminino,rqvz0tj9n566waansjccmxrbd60078,5583863474,34.0,63392.0,339.9,26,nordeste,casado(a),pós-graduado,1,cartão de crédito,11
ELIAS X.,feminino,qcu5n7aub2gccv20i8z1673rv2fpd7,,37.0,58130.0,642.9,37,sudeste,viúvo(a),fundamental,1,cartão de crédito,0
ROSA V.,feminino,ejcqudcq1t52z80rlskckzktn7spsk,,30.0,37300.0,395.6,54,sudeste,separado(a),graduado,1,cartão de crédito,7
JAQUELINE Q.,feminino,nbwls7gz8106zxddvip4c40hvvozll,,29.0,31090.0,420.2,21,nordeste,separado(a),fundamental,0,cartão de crédito,0
JAQUELINE S.,feminino,xnxwhjvczih16u180p7ct2pvt0qer4,6175537560,37.0,52138.0,414.6,46,sul,solteiro(a),fundamental,2,cartão de crédito,16
SIMONE N.,feminino,te1q1odcb3hfuabfvmatcwa11g789j,2473324425,39.0,59262.0,514.4,30,sudeste,divorciado(a),,0,transferência,8
ELIAS Q.,feminino,853l9tegzzdjvfg09dvii2fgckzah4,4142093637,42.0,65356.0,743.3,29,sudeste,solteiro(a),fundamental,0,cartão de crédito,8
DEBORA R.,feminino,zfcd3ml5cuavf14ok5tcuw4ltg8lwd,8499351746,25.0,38496.0,302.4,116,norte,solteiro(a),médio,3,cartão de crédito,0
LUANA Q.,feminino,8ef6s0tk6on75cwja8k4vsnhbzhe9q,5367876857,35.0,58960.0,583.7,40,sudeste,separado(a),outros,0,pix,11
FERNANDA K.,feminino,5z4kjw38ajm28m3g1guioegd2rh5o2,,54.0,54121.0,710.8,47,nordeste,solteiro(a),graduado,0,cartão de débito,0
APARECIDA Z.,feminino,iw3xr1ka0ve9qvjukxpf4arx31w1bg,,55.0,37951.0,571.3,19,centro-oeste,divorciado(a),fundamental,0,pix,9
ALESSANDRA Q.,feminino,ms7q3etmxuxjmwdshukt87ugdl1xww,7052589638,40.0,65130.0,510.5,46,nordeste,casado(a),graduado,1,cartão de débito,9
VITORIA B.,feminino,jvfof6q5gnewundvg8bmgo0bbll2ov,9616665587,27.0,59221.0,,25,sudeste,casado(a),pós-graduado,1,cartão de débito,0
ERICA X.,feminino,1tz3qk9ahgznzazf22u1111qrq2ldd,0335454215,33.0,50331.0,469.3,91,sudeste,casado(a),,1,cartão de débito,10
ELIAS K.,feminino,c9j5z78mu7trb65ed4hglcrdwk17ur,,44.0,63164.0,388.6,29,nordeste,divorciado(a),outros,2,cartão de crédito,0
DANIELA T.,feminino,2zs73zq2l37tzw40236b284otqru5m,6448119382,33.0,54140.0,662.9,41,sul,casado(a),médio,2,cartão de crédito,12
JULIA C.,feminino,63xx4njlu47eou533o4isg3w65k646,,51.0,62557.0,852.3,43,sudeste,casado(a),outros,2,pix,10
ROSA S.,feminino,j1lt8eseufu7tmd5orchslxfk5q4hr,3666966018,31.0,39141.0,521.9,50,sul,solteiro(a),outros,0,cartão de débito,0
JOSE V.,feminino,ts27a3etrhennn7k0a67gvxlcngj2f,,33.0,82835.0,368.5,53,nordeste,separado(a),médio,2,pix,0
MARIANA R.,feminino,bsj5ovq9i6ugrsthgzmpoxqvlrgc3o,,30.0,48404.0,458.2,39,nordeste,solteiro(a),,0,cartão de crédito,0
JULIA S.,feminino,gq5ois10lujb88gckwtlp7ux0s7hhd,6802097331,41.0,57637.0,415.6,42,centro-oeste,solteiro(a),médio,0,cartão de crédito,18
GABRIELA D.,feminino,7dkb1jra65cwtw8u2il8xn8hc5t8zs,5561460768,48.0,57758.0,792.7,29,sul,casado(a),médio,1,cartão de débito,8
MANOEL R.,feminino,2zpex0if34t4ne4qm9spu0c2tpzfd8,5249019387,49.0,48119.0,600.4,32,sul,separado(a),médio,3,pix,0
DANIEL P.,feminino,0hnxj4cdo3kqvm1dwx71tefrw1xmcb,7692572820,29.0,38040.0,344.8,43,nordeste,solteiro(a),fundamental,0,boleto,13
ANA M.,feminino,cw098t2t4p9qftk89mqk05r40hwawx,2680708420,46.0,46954.0,552.6,33,centro-oeste,divorciado(a),pós-graduado,1,cartão de débito,0
APARECIDA A.,feminino,jpjfmf9q78d3l14xw27rebz87ai212,,35.0,71898.0,594.3,36,sudeste,solteiro(a),fundamental,0,transferência,8
MARIA E.,feminino,mb1k7omcwrejdofv90su3mlmt3v956,0886926604,,69943.0,627.3,32,centro-oeste,separado(a),fundamental,1,pix,4
ANTONIA B.,feminino,1vif4th93sf0is8ak6h3srqoeme4zi,5882112293,32.0,46369.0,546.5,22,sul,casado(a),graduado,2,cartão de débito,15
SANDRA S.,feminino,qsie41vxzf2dquvtvmr1hmr3aqgudv,5951967718,49.0,76897.0,661.4,47,sudeste,separado(a),,1,boleto,0
SONIA T.,feminino,2dftaolmrw2jt55cqi9e38lszvl2hh,7769744758,25.0,57708.0,,40,nordeste,separado(a),fundamental,1,cartão de crédito,8
NATALIA M.,feminino,m5c2rqtldvr1aedh2384v6dwzttsj0,3449497575,23.0,27635.0,588.2,32,nordeste,divorciado(a),fundamental,2,boleto,0
RENATA X.,feminino,jwa2iomo9jo6rruqrr146r0eii0rr2,4717898495,49.0,45468.0,555.4,23,sudeste,casado(a),,2,cartão de crédito,0
LARISSA K.,feminino,1352zs02oie6o0bg2iljzq8j2m76q5,6593709365,32.0,70020.0,419.5,36,sudeste,casado(a),,0,pix,9
RENATA H.,feminino,jk2n04v78gfvzzpkq9e1ln0zxab0nk,2294393374,52.0,85581.0,490.7,34,centro-oeste,solteiro(a),,1,cartão de crédito,3
VERA B.,feminino,nwgbc8cnxoon3xwo87h86uerbkf89c,,22.0,47841.0,250.7,23,sudeste,solteiro(a),pós-graduado,0,cartão de crédito,0
SONIA X.,feminino,nvastme1eo8535epllek0smon80fi1,6084648261,36.0,70912.0,572.6,34,nordeste,divorciado(a),,0,cartão de crédito,6
RITA Q.,feminino,187b817tsuflua7hzm4sk8k5piqh9n,5251771822,46.0,59004.0,734.5,54,nordeste,solteiro(a),médio,1,cartão de crédito,0
ELIAS M.,feminino,s2a65jeqttzw7cxcv8mr29n6fxg27i,,25.0,47430.0,374.7,38,centro-oeste,solteiro(a),médio,3,cartão de crédito,0
GABRIEL Z.,feminino,fdv40fl6ak5z194ht8zs4wuie4cb3l,4036780742,34.0,67590.0,302.9,50,sudeste,divorciado(a),médio,2,transferência,8
APARECIDA C.,feminino,a496brdcw6fe2tonkxzkhrc6fidpn3,1698673782,,51769.0,340.5,24,sudeste,casado(a),fundamental,4,pix,5
ALINE T.,feminino,b3pikimv1h56vr60b2822cfg0vcanq,,38.0,69937.0,626.8,28,sudeste,separado(a),médio,1,boleto,1
RENATA L.,feminino,gjjr7f0sexsi1noqfm2vpx0qtwielp,,28.0,45558.0,260.4,21,sudeste,casado(a),fundamental,1,cartão de crédito,0
SUELI T.,feminino,x11tw4rw6onq84r62i3auswxgmdxz3,3680483971,25.0,54231.0,532.9,25,sudeste,casado(a),graduado,0,pix,13
FRANCISCA N.,feminino,8jug3fui5j2xe7749vumciwkec9l35,9758831987,27.0,40516.0,488.8,58,sudeste,solteiro(a),outros,2,cartão de crédito,7
RENATA J.,feminino,zte3o3f0pfrw5262lncwuk19krgp6n,2072171704,41.0,49241.0,510.1,26,nordeste,viúvo(a),médio,3,boleto,0
GABRIELA N.,feminino,7b8k3uaihe98dnqi9ptrckt4hr8r1z,,44.0,54976.0,709.7,32,nordeste,casado(a),fundamental,2,cartão de débito,1
RENATA A.,feminino,cwfv2zxgrrtplfkaz4eudd0zphrd99,,43.0,82446.0,756.6,28,nordeste,divorciado(a),outros,1,cartão de débito,0
TEREZA C.,feminino,iroa368xqguun6l0n829i1fd8o4i19,9776726629,,89524.0,725.8,36,sudeste,solteiro(a),outros,1,pix,7
MANOEL A.,feminino,9xmm31zc2nruk9tsq9b236ze4jcs62,8509118639,43.0,79921.0,469.8,52,nordeste,divorciado(a),outros,2,boleto,11
JOSEFA S.,feminino,biiqhijpq2eg9iwdh760dx9ce7o4s9,4003537124,,31071.0,413.1,21,sudeste,divorciado(a),,1,cartão de débito,0
GABRIELA D.,feminino,cr878gebjcac5p4whi39735a3z0dpi,,28.0,54452.0,350.4,66,centro-oeste,divorciado(a),médio,2,transferência,12
ALINE Q.,feminino,ksle4345v6dqbkrlh6kl9v29opsvtn,4877290496,,49384.0,698.1,43,sudeste,casado(a),médio,0,cartão de débito,8
BEATRIZ Z.,feminino,1w3ute0xbksusdq7fkwkjpgt0qbqum,6089821244,38.0,38349.0,,37,nordeste,casado(a),graduado,0,cartão de crédito,0
JOSE F.,feminino,9sfx8qvd120qxaxvx6nce8ui5pc5ax,4880866900,30.0,54566.0,,22,nordeste,casado(a),fundamental,0,transferência,3
ERICA N.,feminino,i9dufpfsnm4o035u467121qev909m4,0988853334,,56992.0,491.5,34,sudeste,divorciado(a),,2,cartão de crédito,0
BRUNA G.,feminino,7ngzbvfl201d7nild207dmtgcmjf14,8351408424,26.0,54672.0,578.8,22,nordeste,solteiro(a),outros,0,cartão de crédito,0
SIMONE S.,feminino,lfp9qwvt2q02is885ojuez1k37ejas,5645221641,30.0,45197.0,395.3,73,norte,casado(a),médio,1,cartão de crédito,0
SIMONE P.,feminino,gae7p4iuhlh47fs7hqq07nog510tn7,9808697163,26.0,31969.0,587.3,47,sul,casado(a),outros,3,cartão de crédito,9
GABRIEL V.,feminino,px9tj134911vmmcj76o8ec7uiodmhd,,,43158.0,424.6,32,sudeste,divorciado(a),médio,1,cartão de débito,0
ELIANE H.,feminino,hdvabfqua8p7gf75nvrsrsda6w5076,,34.0,96045.0,348.2,76,centro-oeste,separado(a),,3,cartão de crédito,0
MANOEL R.,feminino,t0w1uzem8zmhqbhsxswj8esdva002q,,38.0,63978.0,530.2,32,norte,casado(a),fundamental,0,boleto,0
BEATRIZ H.,feminino,8g1vh6pd68ecbffimdbk4qj2oorjru,,24.0,28192.0,607.9,17,sudeste,solteiro(a),fundamental,2,transferência,0
LUIZA Z.,feminino,tvatwdplk6o78i15wc50j6hrvzcgap,0510056998,21.0,53340.0,392.7,27,sudeste,separado(a),outros,0,boleto,0
SUELI G.,feminino,dmq0kcp5ofjdoldmheb9j9dmgvfoir,,44.0,65954.0,625.7,35,sudeste,solteiro(a),fundamental,2,pix,0
CAMILA X.,feminino,cj35rnmvphn0nhrxkswnwwxzjw2u0n,4613649637,39.0,45278.0,730.0,44,sudeste,separado(a),fundamental,1,cartão de crédito,0
MARLENE C.,feminino,wkw0a3nh6o5bmjisf2g27ddcvgb0ke,,,44567.0,726.6,34,centro-oeste,separado(a),fundamental,0,cartão de crédito,0
GABRIEL K.,feminino,0q9vxs0t94zwp10iwd1sj2ikatt0gb,,33.0,47732.0,487.5,15,sudeste,divorciado(a),,1,cartão de crédito,11
DANIELA V.,feminino,p9er5ozwpqlvzi6i3dx7sgxtg8hi96,4018494380,45.0,71082.0,402.8,29,centro-oeste,casado(a),pós-graduado,1,transferência,0
ALESSANDRA A.,feminino,0zd0czj2ntmika6u6v8hkqbggshaaf,6690163860,36.0,40755.0,393.6,41,sudeste,solteiro(a),outros,1,cartão de crédito,0
ALESSANDRA O.,feminino,2src9q8ssbeqi5f9vk5za8r6jiqi6n,6134840075,35.0,57353.0,352.5,30,nordeste,divorciado(a),graduado,0,pix,16
CRISTIANE Z.,feminino,srbjlgcg514on6amh1ebjhmntvzxpt,5162827354,36.0,56281.0,718.0,24,nordeste,divorciado(a),graduado,6,pix,6
BEATRIZ A.,feminino,e38tbw1iakn3w9jmqh50zlndzvc7mq,,40.0,49101.0,622.5,23,nordeste,solteiro(a),fundamental,1,transferência,12
JAQUELINE N.,feminino,bw4cvcvxbj9lf8kxmqtt2sgknj91w9,0490595227,38.0,79520.0,536.7,48,sudeste,solteiro(a),médio,2,cartão de crédito,4
AMANDA P.,feminino,sv9tj2var0me40om1on449fonq1nue,2180980692,32.0,42831.0,418.8,15,nordeste,casado(a),fundamental,1,cartão de débito,4
FRANCISCA N.,feminino,nguuhkg9ft7gn0sdj7qxhi49ce701w,8809837259,47.0,76540.0,462.5,58,nordeste,divorciado(a),fundamental,1,cartão de crédito,3
ROSANGELA D.,feminino,il3c602ecgvjixu0fak6muwzf7f0v7,,47.0,75307.0,719.0,23,centro-oeste,divorciado(a),outros,1,pix,10
MANOEL E.,feminino,vwu0apii6m95kn47k5zhu1d1d3cazg,1354645311,,29202.0,774.3,31,nordeste,solteiro(a),,0,cartão de crédito,0
NATALIA H.,feminino,kptftuu1b9giacjkxjn2s4ak7t3g6h,,25.0,73283.0,336.4,31,centro-oeste,solteiro(a),médio,1,pix,0
GABRIELA I.,feminino,n4dzg821n4raoxq4s0a5kr8inazt3h,,39.0,39351.0,659.6,19,nordeste,separado(a),,0,cartão de débito,0
MARLENE Z.,feminino,9jd1f9hl4cvztvxvc7mt894bxlfd2s,,24.0,58964.0,528.5,39,sudeste,casado(a),,1,cartão de crédito,15
DANIELA U.,feminino,chz6mub39nratjl9medxipxhos9rdd,6948842502,32.0,41454.0,402.3,35,sudeste,solteiro(a),fundamental,0,cartão de débito,20
ANA U.,feminino,ou6jqvx2d4nmv573xalsqs2ui1sgof,4279370494,35.0,58294.0,471.9,53,sudeste,separado(a),fundamental,1,boleto,12
CAMILA X.,feminino,olglgfgd50pmkc8vnkcmqrcs9np7zi,2863145173,31.0,49495.0,315.9,35,norte,solteiro(a),médio,1,cartão de débito,0
ELIAS L.,feminino,6id86ncxp6abo7i4bqfp0ipppjhg7f,5140615821,28.0,45092.0,600.6,16,sudeste,divorciado(a),graduado,3,pix,0
RITA H.,feminino,kizohqdxa9kiisup3ofcq4rpd9z1tw,6523327475,30.0,35578.0,299.0,19,nordeste,solteiro(a),fundamental,1,cartão de débito,9
LUANA S.,feminino,f8dcf0h0ad3pxx2w45q19415dri8uk,0562614844,40.0,54566.0,674.4,34,sudeste,separado(a),fundamental,0,boleto,0
VANESSA W.,feminino,dxb1q2zc166mcd0nj0ntcqahc21aww,5165331375,24.0,48927.0,588.7,11,sul,separado(a),,1,cartão de crédito,5
AMANDA V.,feminino,50gvm85n6b7hi3izg7xkmvlkxf60kd,8964750864,26.0,81182.0,450.1,51,sudeste,solteiro(a),médio,1,cartão de débito,0
JOSEFA A.,feminino,e8si3ipigeqqg9gichkrvwmx5lfuod,2505600928,40.0,55097.0,663.7,32,nordeste,casado(a),,1,cartão de crédito,8
SONIA D.,feminino,bd6n8sed39trlufcxkxi4rnflkm6jx,5646780740,38.0,51903.0,584.7,35,sudeste,casado(a),fundamental,1,cartão de crédito,5
LUIZ T.,feminino,p16xjrrnprjechnspfpr9u9uf1d8ab,9076484172,,124156.0,760.2,30,nordeste,casado(a),graduado,2,transferência,4
FRANCISCA C.,feminino,o9z18c9obpqiixk18vzdhcqg6vendr,,44.0,40880.0,506.7,21,centro-oeste,casado(a),médio,1,cartão de crédito,0
GABRIELA G.,feminino,p22gbfpljwqgl6582fupsg24uh0k71,5693079078,30.0,83863.0,640.2,40,nordeste,solteiro(a),fundamental,3,cartão de crédito,0
VITORIA K.,feminino,zle305az4rncwpr3iez3k9nqdmhjod,8880856624,25.0,64531.0,631.0,30,nordeste,casado(a),médio,2,cartão de crédito,12
DANIELA C.,feminino,th65uh4gbvxplhg0dd6ndjcok3nz17,0592212419,24.0,36689.0,356.1,12,sudeste,casado(a),outros,0,pix,9
BRUNA H.,feminino,35ltkxra10rcmfhg8j5u3kxkav7d6u,7553637064,48.0,35765.0,474.8,20,sudeste,casado(a),graduado,2,cartão de crédito,4
TEREZINHA N.,feminino,zhiq5b05on2nk5iibjko2pcxflhgbn,,37.0,57827.0,446.0,36,sul,separado(a),médio,2,cartão de débito,16
LARISSA D.,feminino,dd3j0x22kgmfj8ud7ij0zd7s0qxjgk,,,50314.0,414.5,45,sudeste,divorciado(a),fundamental,0,cartão de crédito,3
SIMONE K.,feminino,knguvb6jwxz3nj5vqja99a80fgbc31,0544028800,37.0,75248.0,689.7,51,centro-oeste,solteiro(a),fundamental,4,cartão de crédito,13
ELIAS W.,feminino,83wcajvs65l4zqzs3sorgw3kseivrp,6631807935,42.0,95912.0,451.0,27,sudeste,divorciado(a),médio,1,cartão de crédito,9
RENATA Z.,feminino,q68meal7kkikhd7za5pn39gcxbn02l,0726151599,34.0,52226.0,619.0,51,sudeste,casado(a),,3,cartão de crédito,16
PATRICIA V.,feminino,6oqckx5pmkihcjbxhhsbbk5bbgdo6v,6441089157,28.0,32599.0,473.1,13,sudeste,casado(a),fundamental,0,cartão de crédito,3
CARLA Z.,feminino,c23cwlb38dn9qhu82wsu6un7n585fq,3076783164,31.0,31601.0,371.2,44,centro-oeste,solteiro(a),médio,1,boleto,12
APARECIDA F.,feminino,v80cfoxzkqkbg7fijxo2xjw9cjal99,0058253771,,66813.0,520.8,21,sudeste,solteiro(a),médio,2,pix,0
DANIELA V.,feminino,v1zncco5kvrlizt15ig865jild8j9s,6555574455,31.0,71137.0,517.8,20,sudeste,divorciado(a),médio,0,boleto,0
LARISSA P.,feminino,mfjq9mjdcj0aqg00df175gqreztaht,9466372058,40.0,47769.0,743.6,21,sudeste,casado(a),fundamental,0,pix,4
MARIANA G.,feminino,r4mkmroopqn8s30clo269zulah1uel,,28.0,33066.0,656.7,37,sudeste,casado(a),outros,5,cartão de crédito,0
GABRIEL S.,feminino,p86c34l0km8fn7t4g1ik0hvi49o9tp,,29.0,77398.0,291.8,29,sudeste,divorciado(a),fundamental,0,pix,0
MARCIA T.,feminino,cwbkwfcxmk7xtankpuk5i0168ldbqd,,45.0,44263.0,450.1,25,sudeste,divorciado(a),fundamental,0,cartão de débito,0
ERICA M.,feminino,3pjfnwd7mk42kg8eqn87rmcwttx448,4586396549,33.0,71088.0,672.1,35,centro-oeste,casado(a),médio,0,cartão de crédito,8
MANOEL S.,feminino,dow71sz1escz3rf9swugmqmdkm0pau,,47.0,87703.0,705.9,70,sudeste,separado(a),,2,cartão de crédito,3
ANTONIA N.,feminino,8mf4sqaeizo7r0m8ug16ptu7v97bk8,2602275867,36.0,43948.0,639.5,47,sudeste,casado(a),outros,2,cartão de crédito,5
GABRIELA C.,feminino,cfk3bd8vil6ag5ivu3vl167b4n627p,6114408419,27.0,43420.0,551.7,71,sul,solteiro(a),fundamental,2,cartão de crédito,12
VANESSA T.,feminino,jo5zj8axmirbepqsx2jwzfg4idbeq0,,,29908.0,560.6,23,sudeste,divorciado(a),fundamental,2,cartão de crédito,6
DANIEL Q.,feminino,1bmon2ie860jejgn7div2vur8uuhfa,8197855058,44.0,68394.0,607.1,26,nordeste,divorciado(a),médio,0,cartão de crédito,8
RENATA V.,feminino,n9p16l94movux22gn5ipzhbhmnmhvg,2582424521,42.0,66176.0,538.3,60,sudeste,solteiro(a),,4,pix,2
VITORIA S.,feminino,jt5igq24vrz4f8ewvln7ddnxiae3b7,4433893831,27.0,51532.0,317.3,56,sudeste,solteiro(a),graduado,2,cartão de crédito,4
JESSICA E.,feminino,2743zijj7zt1j0ru2nhvf00xapl7a6,,52.0,35455.0,667.9,27,sudeste,casado(a),,1,boleto,2
GABRIELA T.,feminino,iakzw8sx6fer37x14gsza5tq6awhrk,,37.0,65314.0,529.6,32,sudeste,casado(a),pós-graduado,0,pix,0
RITA B.,feminino,omfhmwn2mkvrbk5iw996ac3kgpjjlk,0320605266,31.0,54511.0,273.5,23,norte,casado(a),fundamental,1,boleto,10
ANA X.,feminino,6z39sah8ojn7rluwwqs18id603jxtx,1697005635,33.0,43760.0,450.6,25,sudeste,solteiro(a),,1,cartão de crédito,14
DANIEL N.,feminino,59kbcalhqaz2vniwuedfrht13potjk,8923987783,,35468.0,307.4,28,sudeste,casado(a),fundamental,0,cartão de crédito,13
GABRIEL L.,feminino,v1p0g3lj9ecdisf5p9bs5n0icuebop,8119424388,40.0,52416.0,436.8,34,sudeste,divorciado(a),graduado,1,cartão de crédito,0
RITA X.,feminino,dducw2xmgd9ua0lo6g4apkqhfeb6nq,,37.0,48430.0,439.3,21,sul,casado(a),graduado,0,boleto,14
MARCIA Q.,feminino,mbkkoaurmwhmc9xwv7vnwopufist6v,,,59771.0,453.4,20,sudeste,divorciado(a),fundamental,2,boleto,10
DANIELA Z.,feminino,0fncsucwiqi0gu6f2801397zq375zw,9589504902,32.0,32156.0,592.9,35,sudeste,solteiro(a),médio,1,pix,0
ERICA S.,feminino,0znrtjlp6wsedgva00d8jrkwrmfavr,6988482542,32.0,88844.0,691.8,45,sudeste,casado(a),,4,boleto,9
ERICA A.,feminino,l1kzvhauiusdms6fjtm8pr4ne6chdj,8414131622,25.0,59198.0,493.3,28,sudeste,solteiro(a),médio,3,cartão de débito,11
SIMONE W.,feminino,gpmt6mlrzitrohmragk3r9wd5m4qv5,6411354777,24.0,43959.0,242.5,16,sudeste,separado(a),fundamental,0,pix,4
BRUNA P.,feminino,61801l2d2ublh8zm9u04lrzq2njiwi,6090088233,,49126.0,439.2,26,sudeste,solteiro(a),,1,transferência,14
ADRIANA K.,feminino,uxhh6lajhab5nu806hpu3gfwtbrld7,,35.0,62740.0,440.7,22,norte,separado(a),,0,cartão de crédito,15
MARLENE K.,feminino,0huw6en77ngud5zihxdwd98ttnnl24,3254878596,20.0,31410.0,467.9,27,sudeste,solteiro(a),graduado,0,pix,19
JOSEFA T.,feminino,xb23uee7pe00j1hhlw53286cwcjq19,4782982271,38.0,61356.0,447.7,79,sudeste,solteiro(a),fundamental,0,cartão de crédito,9
LETICIA E.,feminino,pni7mfzedkr63rfztoamenl81mspql,8864335612,32.0,41613.0,382.8,42,sul,solteiro(a),médio,0,cartão de débito,12
ROSANGELA R.,feminino,q50l8kfa65t1gqhavkr27v78ikd9er,8694846029,27.0,30048.0,368.9,57,sudeste,solteiro(a),graduado,2,cartão de débito,5
FERNANDA C.,feminino,z6ru8l46xvojkuk0uph8jcc4zjfna4,,,62662.0,530.3,33,sudeste,viúvo(a),fundamental,2,pix,3
JULIA P.,feminino,x2fm9v1r4pj69wzv0m6ivwurjkndor,6339080823,35.0,70891.0,539.0,27,centro-oeste,casado(a),fundamental,1,boleto,12
DANIEL X.,feminino,plb6b1nkt2pjnlm4f2u71qn8a7u50z,9148564556,31.0,51623.0,612.0,26,nordeste,separado(a),fundamental,1,cartão de débito,2
JULIANA R.,feminino,ejuat32dl9b0eiir5j198hfea60chu,5420768017,33.0,55970.0,354.6,63,nordeste,solteiro(a),,0,transferência,7
SUELI T.,feminino,tb3gzbiww83kifz1jftkx7c6etvdo2,3595076220,28.0,53437.0,504.9,28,nordeste,divorciado(a),fundamental,3,cartão de crédito,17
ROSANGELA N.,feminino,jmfq4ct1fl4thilko9o1ogvvt151wo,3040187079,23.0,35422.0,609.3,14,sudeste,divorciado(a),médio,0,cartão de débito,3
CLAUDIA X.,feminino,5t0nfg2bis7ihjrmomj9pmbv7hib46,9342381167,37.0,77901.0,529.7,46,sudeste,divorciado(a),fundamental,2,cartão de crédito,2
ERICA U.,feminino,t2phd2tachg46zgj61dnm4qblbaqqu,,58.0,68150.0,825.9,94,sudeste,casado(a),graduado,0,cartão de crédito,5
DEBORA N.,feminino,eddlt01df3bzpvv89718op0mo8wj5x,,35.0,39034.0,573.1,35,sudeste,viúvo(a),fundamental,2,pix,0
ERICA Q.,feminino,6k4xg332s2dn4wzr31tstboaqi50cz,1387544276,27.0,52615.0,375.3,26,nordeste,casado(a),médio,1,pix,6
JOSEFA W.,feminino,q8cnucg2gh8oofve3ejv5r60lk6unx,,38.0,62571.0,383.6,29,sudeste,solteiro(a),médio,0,pix,8
MARIANA K.,feminino,nls979clq6ogmtj7irucf2zrnu6m1h,3793205739,47.0,30305.0,398.3,17,sudeste,solteiro(a),médio,3,cartão de débito,0
LARISSA Q.,feminino,cn86n4lpbs0tzm3vm2x6kwvkh3ruk1,0577217624,37.0,59052.0,,24,sudeste,casado(a),fundamental,0,pix,14
MARLENE V.,feminino,irrmnqseg6pf1ul5jzpezariwi4nlg,7157991331,38.0,54196.0,602.9,27,norte,solteiro(a),fundamental,1,cartão de crédito,0
VANESSA T.,feminino,d4xr112uqueguqkj1kq94z25up59a9,3764623930,47.0,33505.0,759.5,16,nordeste,casado(a),graduado,1,pix,9
TEREZA G.,feminino,5ffapmob8qzuvuuf4u4vltf0imdx6v,6034433387,30.0,55439.0,301.9,38,centro-oeste,casado(a),,2,cartão de débito,12
MARCIA H.,feminino,ekr7dafa4feu3zzhdtf5slgzd79zw8,,35.0,78035.0,485.5,24,sudeste,casado(a),outros,1,cartão de crédito,0
SUELI U.,feminino,dt6wndbo8n6czavfel1rhft7lqr97b,8849099634,38.0,58309.0,546.4,87,sudeste,solteiro(a),médio,0,cartão de débito,15
PATRICIA U.,feminino,hz9rt0p8e14ejj48z0jg8q4m83jrfs,5909277892,31.0,68057.0,337.2,88,sudeste,casado(a),fundamental,1,cartão de débito,2
TEREZA B.,feminino,2dkc0glgu25za5viz0aivcscvvc87i,6069286666,44.0,51209.0,583.2,41,sudeste,solteiro(a),graduado,4,cartão de crédito,11
TEREZINHA C.,feminino,xxcqsouf8oiau9axfvimtihxqoguu5,,59.0,55354.0,788.4,48,sudeste,solteiro(a),graduado,1,cartão de crédito,6
TEREZA U.,feminino,7rte1m3erc9mdc5nii152p8ivkgjuz,,44.0,40087.0,439.9,58,nordeste,divorciado(a),outros,3,cartão de crédito,10
CRISTIANE N.,feminino,8a5euew3zhjqi1kntdabcxtttra99d,1798455009,26.0,40650.0,361.9,43,centro-oeste,solteiro(a),médio,2,cartão de crédito,0
ALESSANDRA Q.,feminino,2n7fuqv87dqzv8ezrid6u3887s9q2m,1765058941,52.0,83839.0,765.2,26,nordeste,casado(a),pós-graduado,3,boleto,5
TEREZINHA S.,feminino,6mng8zzctxz5iqncuzuokwj8ar1468,5824624089,46.0,45700.0,509.2,40,nordeste,separado(a),médio,0,transferência,5
CAMILA Q.,feminino,5nzigwmc6j15lbpg0u741ue2o2mu7x,,31.0,37176.0,,14,sudeste,solteiro(a),graduado,0,pix,10
GABRIEL D.,feminino,o6xxx2o3292n50c4rjcuct17aut6vj,3714295146,20.0,38438.0,,30,sudeste,solteiro(a),,0,cartão de débito,5
VERA T.,feminino,9vf6ggf208jfc3l4axix0hst21hr9f,8813570745,24.0,35589.0,345.6,13,nordeste,casado(a),,3,cartão de débito,8
JOSEFA X.,feminino,x6hwr7wcnirpgtx1k9m03nvuj9pm82,8996640710,35.0,50485.0,375.5,23,norte,separado(a),,2,cartão de débito,6
ALESSANDRA I.,feminino,wm9ei1mxiagh7npl97tsvx7zmbrjmj,2269124145,45.0,124897.0,598.0,34,nordeste,divorciado(a),graduado,1,cartão de crédito,0
LETICIA V.,feminino,57ctk760leotodbij4ge1bc9rtt5ds,3886420320,,61538.0,358.3,39,centro-oeste,solteiro(a),médio,1,cartão de crédito,0
FERNANDA E.,feminino,ho42w3rdolfwzq9lr7h7z1w9tl5ojp,,28.0,51186.0,334.6,58,sudeste,solteiro(a),,0,cartão de débito,3
